split,event_id,tile_id,pre_image_path,post_image_path,pre_label_path,post_label_path,damage_label,binary_damage,building_count,unknown_subtype_count
hold,guatemala-volcano,guatemala-volcano_00000004,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000004_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000004_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000004_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000004_post_disaster.json,destroyed,1,20,0
hold,guatemala-volcano,guatemala-volcano_00000012,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000012_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000012_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000012_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000012_post_disaster.json,no-damage,0,33,0
hold,guatemala-volcano,guatemala-volcano_00000014,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000014_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000014_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000014_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000014_post_disaster.json,destroyed,1,6,1
hold,guatemala-volcano,guatemala-volcano_00000020,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000020_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000020_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000020_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000020_post_disaster.json,minor-damage,0,35,1
hold,guatemala-volcano,guatemala-volcano_00000022,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000022_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\guatemala-volcano_00000022_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000022_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\guatemala-volcano_00000022_post_disaster.json,destroyed,1,7,0
hold,hurricane-florence,hurricane-florence_00000006,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000006_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000006_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000006_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000006_post_disaster.json,no-damage,0,114,0
hold,hurricane-florence,hurricane-florence_00000009,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000009_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000009_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000009_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000009_post_disaster.json,no-damage,0,116,171
hold,hurricane-florence,hurricane-florence_00000010,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000010_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000010_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000010_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000010_post_disaster.json,no-damage,0,56,5
hold,hurricane-florence,hurricane-florence_00000011,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000011_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000011_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000011_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000011_post_disaster.json,no-damage,0,58,38
hold,hurricane-florence,hurricane-florence_00000014,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000014_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000014_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000014_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000014_post_disaster.json,no-damage,0,151,0
hold,hurricane-florence,hurricane-florence_00000017,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000017_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000017_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000017_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000017_post_disaster.json,no-damage,0,111,50
hold,hurricane-florence,hurricane-florence_00000021,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000021_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000021_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000021_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000021_post_disaster.json,destroyed,1,11,0
hold,hurricane-florence,hurricane-florence_00000025,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000025_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000025_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000025_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000025_post_disaster.json,no-damage,0,0,0
hold,hurricane-florence,hurricane-florence_00000033,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000033_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000033_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000033_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000033_post_disaster.json,no-damage,0,121,2
hold,hurricane-florence,hurricane-florence_00000034,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000034_pre_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\images\hurricane-florence_00000034_post_disaster.tif,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000034_pre_disaster.json,D:\JupyterProject\storage\tiles\geotiffs\hold\labels\hurricane-florence_00000034_post_disaster.json,destroyed,1,21,4
